dates,nzd0550-0000,nzd0550-0001,nzd0550-0002,nzd0550-0003,nzd0550-0004,nzd0550-0005,nzd0550-0006,nzd0550-0007,nzd0550-0008,nzd0550-0009,nzd0550-0010,nzd0550-0011,nzd0550-0012,nzd0550-0013,nzd0550-0014,nzd0550-0015,satname
2015-12-26 22:28:17+00:00,309.33421052631576,305.42,302.07421052631577,297.2166666666667,293.03153846153845,293.28,291.65999999999997,288.00666666666666,,,,,,,,,L7
2016-01-11 22:28:33+00:00,,304.40999999999997,297.9921052631579,293.8047619047619,288.65615384615387,286.69,285.33,276.83476190476193,262.3566666666667,256.5026086956522,258.00105263157894,250.62260869565216,243.90363636363637,244.7747619047619,263.8566666666667,271.6333333333333,L7
2016-01-19 22:27:03+00:00,309.14526315789476,310.0,307.1952631578947,303.3728571428572,300.65461538461534,298.21000000000004,298.09000000000003,289.45285714285717,285.84000000000003,275.0478260869565,265.0126315789473,262.2278260869565,257.05727272727273,258.3228571428572,279.81,295.88,L8
2016-02-13 22:21:08+00:00,313.2178947368421,314.53,311.35789473684207,307.3090476190476,305.65153846153845,302.98999999999995,302.02,289.1090476190476,281.9866666666667,280.43,275.52894736842103,265.03,261.3981818181818,261.9790476190476,283.2866666666667,294.8333333333333,L8
2016-02-28 22:28:54+00:00,,,,,,,,,,,,243.37869565217392,239.21454545454546,251.47571428571428,259.15000000000003,268.54,L7
2016-03-07 22:26:50+00:00,296.67894736842106,288.11,285.43894736842105,286.97857142857146,283.31384615384616,280.01,283.7,266.99857142857144,255.04,255.79434782608698,246.12947368421052,243.94434782608695,235.75363636363636,237.29857142857142,259.14,267.9,L8
2016-03-16 22:21:00+00:00,306.51421052631576,299.6,308.6542105263158,298.942380952381,291.4453846153846,295.5,292.0,283.562380952381,274.02333333333337,262.3378260869565,253.85210526315788,247.63782608695652,246.67636363636362,251.79238095238097,274.8833333333333,277.8566666666667,L8
2016-04-08 22:26:35+00:00,312.4184210526316,312.92,314.1584210526316,311.20142857142855,306.45923076923077,303.08,299.38,293.08142857142855,279.77,279.01521739130436,276.7542105263158,262.1852173913044,259.87090909090904,262.43142857142857,277.47,285.42,L8
2016-04-09 22:23:00+00:00,,,299.1431578947368,294.43666666666667,294.03076923076924,292.52,288.53,287.3866666666667,272.4733333333333,270.68608695652176,271.45157894736843,253.48608695652177,254.2027272727273,254.28666666666666,267.2333333333333,274.9066666666667,L7
2016-05-02 22:29:20+00:00,,,,,,,,,,,,256.08434782608697,247.21727272727273,251.3804761904762,260.74666666666667,276.1133333333333,L7
2016-05-10 22:26:31+00:00,282.78,,317.89,312.66238095238094,308.4223076923077,305.92,303.55,297.08238095238096,276.3233333333333,280.1391304347826,280.55,269.8691304347826,263.6136363636364,262.122380952381,271.24333333333334,272.50666666666666,L8
2016-05-11 22:23:11+00:00,272.89421052631576,253.57000000000002,281.7542105263158,287.36523809523806,284.0161538461539,281.78999999999996,285.17999999999995,,224.82333333333332,207.21478260869566,,227.50478260869565,225.43272727272728,227.7152380952381,236.83333333333334,247.09666666666666,L7
2016-06-03 22:29:29+00:00,,,,,,,,,,209.77043478260867,247.66473684210527,245.8204347826087,251.06272727272727,251.82857142857142,,297.4,L7
2016-06-11 22:26:39+00:00,281.68,265.21999999999997,246.65,298.33952380952377,293.59153846153845,293.22999999999996,285.65999999999997,,230.25333333333333,221.32217391304346,196.05,,,,,,L8
2016-06-12 22:23:20+00:00,,,,,,,270.90000000000003,,234.96666666666667,211.1895652173913,215.10736842105263,223.6795652173913,228.63090909090909,,,,L7
2016-06-28 22:23:21+00:00,264.4168421052632,249.08,230.29684210526315,285.7347619047619,296.21461538461534,290.48,,,,,197.9484210526316,191.4073913043478,244.24545454545452,,240.10666666666665,266.30333333333334,L7
2016-07-06 22:21:05+00:00,256.33947368421053,233.3,214.7694736842105,298.442380952381,297.7069230769231,295.06,294.32,,201.40333333333334,203.22304347826088,188.94473684210527,174.26304347826087,257.6645454545454,,,280.4766666666667,L8
2016-08-22 22:29:37+00:00,,314.37,305.7547368421053,299.41714285714284,300.10538461538465,303.52,298.96999999999997,298.72714285714284,277.15999999999997,277.3121739130435,274.52736842105264,258.7021739130435,,,,,L7
2016-09-08 22:21:24+00:00,302.26842105263154,301.36,307.0884210526316,308.5180952380952,305.07,298.55,297.65000000000003,286.59809523809525,278.5133333333333,277.2404347826087,274.77421052631576,267.3504347826087,263.5718181818182,271.42809523809524,289.30333333333334,299.2366666666667,L8
2016-09-15 22:27:12+00:00,297.0863157894737,290.07,297.1663157894737,299.61571428571426,292.9461538461539,292.78999999999996,295.59999999999997,289.87571428571425,278.47999999999996,270.6569565217391,267.9431578947368,270.30695652173915,268.4718181818182,270.56571428571425,285.94,292.67,L8
