,dates,mex0023-0000,mex0023-0001,mex0023-0002,mex0023-0003,mex0023-0004,mex0023-0005,mex0023-0006,mex0023-0007,mex0023-0008,mex0023-0009,mex0023-0010,mex0023-0011,mex0023-0012,mex0023-0013,mex0023-0014
132,2002-03-13 16:37:20+00:00,184.1577648545027,178.83016936163924,172.55827638161668,174.57008323513173,182.96007899436,185.866229668878,188.87999565141536,186.25406392963083,183.93343328193455,183.83790207851104,183.17766368000014,176.25964307297335,193.44597852250482,195.4019418962921,203.43337796582347
133,2002-05-16 16:37:09+00:00,152.07247609281995,160.1222251644397,152.72693628334662,177.78476835015218,182.03465310047295,189.2764137163025,191.15701872307648,187.10675308134796,181.83544028490002,179.93177187948498,170.42843236743082,169.11384457925044,193.64975333985626,196.24729253787626,189.9258349000948
134,2002-06-17 16:36:57+00:00,164.89883680164036,167.4572945709684,164.65987104139396,168.43233887079532,162.57205480101095,167.72691760264618,170.60280521203123,176.4289740521502,171.6902605201687,171.39064337776364,170.46200786458553,168.3889999061432,186.4397654513981,190.36263472205925,190.62217499133644
135,2002-08-04 16:36:37+00:00,161.8522310432053,168.52311032315365,168.02454485815989,175.05243832330677,174.71343379699218,181.91906953489817,189.62537712585623,183.42382131143899,186.49966741085038,172.1643461628175,159.24798652639794,162.17265137130104,173.73478709896338,174.3682630335792,180.3095610481799
136,2002-09-05 16:36:25+00:00,173.96394481842833,172.5733528518668,168.07563210129237,172.24521147109408,177.64264389877445,183.3582784408193,181.32127050941628,175.72524820148988,174.26320646543482,158.15628901708905,163.13342138384706,160.80961455455548,169.91405795461293,176.6586788052497,186.73706034116015
137,2002-11-08 16:36:19+00:00,205.2124415196734,205.4424191644975,205.56340821002922,208.96825939461985,213.34668510275165,206.83136911536445,208.44634184395034,201.3010328628437,201.61950042343418,189.05835254635625,178.66785637044816,178.40974589678632,193.30928507594209,187.38438817442193,182.39400346889624
138,2002-12-26 16:36:47+00:00,194.85221953924744,203.47084534539655,186.42889933844398,189.85380106649305,193.99172170653475,194.210429417127,196.20734405701643,195.44641296139255,186.26614409249467,178.69326999190338,168.39688992023594,167.86415380673049,187.01668219673067,180.27194196418787,185.41738613756814
139,2003-02-12 16:37:07+00:00,191.45689206365776,184.13547163175036,178.90596704701645,183.8010658437502,184.05579634732385,188.39930367260246,195.08527253993165,191.9324466771856,181.6488365212336,185.79323069436754,170.11843028729442,184.2048536877158,197.50147988337875,204.35586499049037,208.74005925714545
140,2003-03-16 16:37:09+00:00,183.7850012633128,176.12075771155872,174.91579061090792,182.19286661929925,186.84593338497316,186.02073261219465,193.0337803123804,191.8589620782496,184.04931057042825,178.37340937975011,183.07800478358624,183.21120063472398,196.80574454909038,215.66299741266988,196.6491782662627
141,2003-04-17 16:37:11+00:00,187.631590188227,193.23047714750382,180.83408779677922,176.14987711458454,179.3439787283669,183.03177517614634,188.58918341334163,180.52032844294578,175.16255508756944,173.77172321445084,167.1651821311922,163.85477766267857,176.26900711850212,190.33389552936325,187.2117781965215
142,2003-07-22 16:36:58+00:00,,,,,166.58877523570234,178.8361568998313,175.36874438493066,171.1979024759321,158.4181365221791,144.33974425919092,130.73915747729887,134.95703658504635,158.47713531929367,145.7911751013169,144.4263547003146
