,dates,jap0336-0000,jap0336-0001,jap0336-0002,jap0336-0003,jap0336-0004,jap0336-0005
109,2000-10-19 01:31:32+00:00,151.33949644609234,147.10065303260566,145.5001215672142,149.2946975043552,145.69301792417247,154.25172308308206
110,2000-10-27 01:20:06+00:00,148.79944469111913,141.09178027079744,140.21929282883036,145.31853680792574,147.8354393106194,140.2265204925992
111,2000-11-28 01:20:34+00:00,154.17267889876342,145.713319875376,144.48637898197023,154.8160730558278,154.2652493672944,162.8017032355236
112,2000-12-06 01:31:38+00:00,172.12370475407036,153.51438459216223,147.83202524992322,158.2013803666463,162.00632310620367,164.97807461595647
113,2000-12-22 01:31:47+00:00,170.69351834493776,163.68046487490278,158.80007202698303,170.13451697751788,169.67615135728755,164.93366956883622
114,2001-01-23 01:31:52+00:00,154.6830334526884,153.79230065787263,149.5644290485828,158.87496135039768,161.6165830212843,167.51776526536543
115,2001-01-31 01:21:18+00:00,153.5380218507312,146.94404077123102,144.57144573891222,155.0123111026879,154.5238127828188,156.93426487161744
116,2001-03-04 01:21:29+00:00,145.70884056138047,143.99919163773663,138.71153142183246,150.56404640410597,152.66631621580981,156.85270872232056
117,2001-04-05 01:21:17+00:00,140.52809821788097,140.06994159902032,,152.26717223150487,148.81246761124945,149.07732740744495
118,2001-04-13 01:31:27+00:00,148.1357687636628,142.4603743580279,,152.60107572519723,156.18828933742722,163.13303132872488
119,2001-07-02 01:30:42+00:00,148.67419811647724,141.1204723236188,148.9564065310239,150.00016345414346,143.57899660572608,145.36157739497668
120,2001-07-26 01:21:39+00:00,138.17349020520828,132.81668687269288,137.75108492037046,143.53342533624033,144.96306613918583,148.6605591037722
121,2001-08-03 01:30:27+00:00,138.85350794757818,141.01309570754552,144.49607514936508,152.74778950411581,153.588974972629,158.39893931166756
122,2001-08-11 01:21:39+00:00,134.48891266533334,132.96394099606397,138.63744829876327,146.31613876482527,149.5763296749041,150.2978603055971
123,2001-08-19 01:30:10+00:00,137.93348994419588,138.74198219602448,141.2865713318362,151.88357557605553,,
124,2001-08-27 01:21:33+00:00,139.81594131206535,140.22152151983116,136.854983791504,147.1500937027203,144.7257241756112,160.17371579977498
125,2001-09-04 01:29:57+00:00,,,,154.4470546569377,150.4795242714474,160.7515917708079
126,2001-10-14 01:21:18+00:00,143.0188514547613,137.65553903852972,133.35507102392373,145.13102202665794,144.1791308769858,153.18391023042648
127,2001-11-07 01:29:45+00:00,157.2253152873961,155.82829191466053,150.8095931224436,160.63102350222658,159.09281442888334,155.6912259217854
128,2001-11-23 01:29:53+00:00,159.69642806935514,153.1030912903715,148.04134200709294,153.50868238273515,155.23079275090157,160.60360954085473
129,2001-12-01 01:20:52+00:00,150.0542858116834,138.99278519805546,141.34518802211457,150.24458775578,149.6465289087829,152.15225405196338
130,2001-12-09 01:29:56+00:00,162.5600418223067,153.28467926509862,151.34475623589037,160.23924094011568,158.30744081140557,163.7730424630415
131,2002-01-10 01:30:06+00:00,156.5255110329124,151.280610656359,149.84415507160875,154.6328858266614,156.80237923257693,158.7920706256098
132,2002-03-23 01:19:22+00:00,136.9743559815891,133.85667411295432,134.16502933938764,136.33421249400672,135.04231595038203,144.14500885022366
133,2002-05-26 01:18:03+00:00,131.32385683324915,126.45660067566607,134.29244713076199,137.86847994500167,136.9600574550169,146.03452897665525
134,2002-08-06 01:29:30+00:00,133.39456541279546,125.00606532738696,130.76613253206193,133.0266781844056,129.12282503626568,141.3954957104564
135,2002-09-23 01:29:07+00:00,147.99924733246513,143.64232132814504,143.92357343087164,142.55961950006744,143.39218306150093,155.1552011425922
136,2002-10-01 01:14:48+00:00,120.93852410803196,117.92013505561118,118.37487160001658,120.54381475865,121.412781999954,128.06263495183703
137,2002-10-17 01:14:12+00:00,138.79228069617636,129.60584729795056,133.11828052930335,133.55254218631126,130.6236864052793,138.8055956394918
138,2002-10-25 01:29:08+00:00,161.43342405588947,151.96369023606564,149.50333112592264,157.90241056572827,148.9844711339554,154.64228773814432
139,2002-11-18 01:13:10+00:00,140.55353243168685,131.15335493291485,136.13501460715398,133.63080059525385,136.9806722358193,143.98153967698252
140,2003-02-06 01:14:11+00:00,152.54582329642182,145.68587930729828,145.03484892238467,148.8367000514296,152.93909588553763,152.4456485613166
141,2003-02-14 01:30:01+00:00,150.85930275301777,146.413408449706,142.5264765877463,146.39218695371025,148.83248097708997,150.15002547890754
142,2003-03-02 01:30:02+00:00,149.3584187014057,148.52945970992485,144.95948167226112,150.69628248341135,151.4850469043024,153.60970438141365
143,2003-03-18 01:30:03+00:00,,,,134.30037852173507,149.20457830869802,155.4168689813151
144,2003-03-26 01:15:22+00:00,136.52549460138167,132.59684133109033,,,135.93650426726427,143.419848212098
