dates,satname,nzd0580-0000,nzd0580-0001,nzd0580-0002,nzd0580-0003,nzd0580-0004,nzd0580-0005,nzd0580-0006,nzd0580-0007,nzd0580-0008,nzd0580-0009
2010-02-21 22:04:44+00:00,L5,704.83,673.40,203.32,206.46,192.95,218.70,175.87,195.27,655.49,790.96
2010-02-22 21:59:36+00:00,L7,205.52,205.95,206.78,218.96,200.76,225.35,180.12,201.24,649.55,767.33
2010-03-01 22:05:51+00:00,L7,216.22,221.48,256.96,214.20,211.35,226.81,212.23,227.03,631.83,769.09
2010-05-13 21:59:45+00:00,L7,636.20,651.40,212.16,163.31,200.60,228.18,183.69,259.43,661.59,767.59
2010-06-30 21:59:49+00:00,L7,,650.90,155.64,155.83,,139.64,143.96,168.70,212.66,209.55
2010-07-23 22:06:02+00:00,L7,461.09,655.03,391.97,372.45,407.12,204.34,433.46,286.40,661.84,758.52
2010-08-24 22:06:04+00:00,L7,,,467.86,,,,,,,
2010-09-18 21:59:55+00:00,L7,202.20,659.56,197.75,177.29,199.34,212.72,177.48,204.81,655.92,771.30
2010-09-25 22:06:05+00:00,L7,650.57,670.52,241.97,202.10,213.21,226.64,187.75,214.21,642.20,769.31
2010-10-04 21:59:53+00:00,L7,632.37,656.85,,,,,,,220.68,204.22
2010-10-11 22:06:09+00:00,L7,,197.98,192.28,175.92,185.68,,166.91,,658.03,
2010-10-19 22:03:43+00:00,L5,658.43,671.58,249.49,214.47,206.79,225.02,192.27,207.21,637.18,792.31
2010-10-27 22:06:18+00:00,L7,650.64,666.11,221.41,215.01,200.72,221.31,188.72,194.70,648.29,768.81
2010-11-12 22:06:30+00:00,L7,657.62,680.00,212.47,208.95,197.66,211.06,165.19,180.09,652.03,769.03
2010-11-20 22:03:36+00:00,L5,647.63,655.86,234.14,221.12,223.56,232.34,233.20,257.51,634.72,791.22
2010-11-28 22:06:41+00:00,L7,653.45,675.52,212.41,213.67,200.79,211.06,167.00,184.02,653.59,767.93
2010-12-22 22:03:41+00:00,L5,659.85,675.39,217.71,215.02,209.50,224.99,192.25,204.32,641.28,790.25
2011-01-08 22:00:52+00:00,L7,652.35,664.07,221.29,222.64,214.82,226.63,186.56,200.33,647.63,767.15
2011-01-15 22:07:06+00:00,L7,,213.19,222.52,227.01,215.58,226.43,190.65,,644.11,
2011-01-23 22:03:44+00:00,L5,706.57,671.85,217.93,206.51,198.79,214.12,172.56,185.40,652.91,791.85
2011-01-31 22:07:12+00:00,L7,650.13,659.15,257.04,227.89,222.37,237.91,232.68,244.68,627.64,767.74
2011-02-01 21:57:35+00:00,L5,651.97,658.96,230.02,222.97,217.34,235.88,227.59,255.33,638.98,789.42
2011-02-09 22:01:03+00:00,L7,645.96,663.09,211.10,208.51,207.18,217.88,183.68,199.49,657.16,767.84
