dates,nzd0453-0000,nzd0453-0001,nzd0453-0002,nzd0453-0003,nzd0453-0004,nzd0453-0005,nzd0453-0006,nzd0453-0007,nzd0453-0008,nzd0453-0009,nzd0453-0010,nzd0453-0011,nzd0453-0012,nzd0453-0013,nzd0453-0014,nzd0453-0015,nzd0453-0016,nzd0453-0017,nzd0453-0018,nzd0453-0019,nzd0453-0020,nzd0453-0021,nzd0453-0022,nzd0453-0023,nzd0453-0024,nzd0453-0025,nzd0453-0026,nzd0453-0027,satname
2009-02-24 22:16:34+00:00,,416.27,408.53,389.78,367.19,351.57,360.12,365.06,349.85,,346.49,360.79,360.32,374.81,367.50,362.13,356.85,344.14,337.46,332.58,353.48,365.44,364.39,363.02,347.75,331.12,269.42,295.17,L7
2009-03-12 22:16:42+00:00,387.22,389.29,385.66,364.63,346.23,335.84,327.52,324.25,302.49,311.96,335.03,345.26,340.79,340.06,326.61,324.57,322.05,320.84,316.49,315.64,345.69,349.78,347.82,337.91,326.31,219.38,252.32,275.99,L7
2009-04-13 22:16:54+00:00,387.81,382.19,386.88,390.35,365.19,341.42,328.67,328.17,332.77,338.02,344.65,347.95,346.10,333.48,334.17,339.84,337.96,344.11,343.97,342.63,352.71,375.81,365.09,335.90,315.33,217.30,245.36,270.28,L7
2009-05-31 22:17:00+00:00,,,,,,,,,,,,,,,,,,347.42,330.38,327.38,329.82,353.14,346.54,,,199.07,213.00,254.35,L7
2009-06-16 22:16:59+00:00,,,,,,,,,,,,336.94,332.00,325.88,332.82,346.02,345.72,341.33,341.25,340.23,333.91,355.92,333.72,,,185.58,229.88,,L7
2009-08-03 22:16:47+00:00,,,,,342.73,346.33,,,,,294.72,,342.29,,319.41,,,,,,,,,,,,,,L7
2009-08-19 22:16:44+00:00,389.79,380.62,382.04,374.03,366.85,352.05,341.36,336.18,333.87,330.26,334.56,324.04,316.07,312.50,296.22,304.83,319.70,323.61,335.45,318.54,328.18,343.88,328.59,314.77,,221.50,243.49,268.93,L7
2009-09-04 22:16:44+00:00,392.78,392.06,382.22,362.34,355.24,348.35,349.40,341.78,333.51,332.27,318.44,313.31,317.67,312.34,308.73,328.13,341.54,338.02,335.55,322.78,336.18,335.17,323.59,314.09,286.17,247.73,269.18,300.57,L7
2009-10-22 22:16:50+00:00,412.03,401.31,388.31,362.46,355.59,354.22,355.99,347.46,339.92,334.12,316.79,302.05,304.46,310.84,313.24,315.50,322.36,330.66,332.68,334.30,330.95,330.47,314.65,304.38,290.94,282.69,261.72,291.58,L7
2009-11-07 22:17:05+00:00,411.78,403.37,377.66,358.26,338.36,344.48,338.67,344.28,344.68,330.52,316.59,312.63,317.47,323.89,328.66,332.87,334.70,331.58,328.22,335.60,354.24,354.03,318.73,292.35,277.39,294.61,305.87,289.99,L7
2009-11-23 22:17:17+00:00,403.65,390.12,379.36,361.32,351.79,340.39,337.17,327.98,331.34,326.30,322.73,315.50,330.78,323.57,330.49,330.33,334.28,325.98,330.17,342.62,353.77,353.77,317.97,281.90,277.45,292.77,314.35,,L7
2009-12-09 22:17:27+00:00,402.29,386.60,379.21,362.77,344.83,344.61,345.09,342.85,337.13,325.74,325.27,331.72,333.63,319.40,319.83,315.93,321.32,329.07,324.36,333.92,333.28,337.86,312.73,284.10,272.98,294.22,323.48,,L7
2010-01-10 22:18:01+00:00,375.95,369.75,355.36,347.28,349.77,353.22,353.25,347.88,330.86,320.00,309.81,318.91,316.45,304.65,304.91,321.23,319.74,327.41,333.28,327.83,329.81,322.77,306.83,298.39,285.31,279.14,255.75,289.12,L7
2010-06-03 22:18:42+00:00,467.59,,,,,,,,,,,,,,,,331.57,332.57,343.26,350.63,332.60,339.37,316.50,,,,221.83,254.62,L7
