dates,satname,sar2320-0000,sar2320-0001,sar2320-0002
2001-09-11 09:48:07+00:00,L7,250.12,207.88,96.66
2001-09-18 09:54:11+00:00,L7,247.89,196.63,155.42
2001-09-19 09:39:37+00:00,L5,90.30,200.46,104.95
2001-10-04 09:53:59+00:00,L7,249.99,212.13,192.46
2001-10-13 09:47:44+00:00,L7,258.26,190.84,155.61
2001-10-20 09:54:02+00:00,L7,,206.08,124.54
2001-11-05 09:54:07+00:00,L7,246.81,192.34,154.95
2001-11-13 09:45:18+00:00,L5,106.69,196.62,142.00
2001-11-14 09:48:02+00:00,L7,257.94,203.98,211.56
2001-11-22 09:39:05+00:00,L5,254.43,205.18,222.65
2001-12-07 09:54:17+00:00,L7,244.62,207.11,210.31
2001-12-23 09:54:25+00:00,L7,259.69,194.98,140.01
2002-01-17 09:48:45+00:00,L7,252.27,198.72,207.21
2002-01-25 09:38:54+00:00,L5,261.08,205.52,210.53
2002-02-09 09:54:38+00:00,L7,248.95,209.55,216.06
2002-03-05 09:43:55+00:00,L5,90.23,199.38,133.78
2002-03-06 09:48:52+00:00,L7,,214.86,90.82
2002-03-13 09:54:38+00:00,L7,247.92,188.37,154.98
2002-03-14 09:37:38+00:00,L5,,205.29,97.26
2002-03-21 09:43:47+00:00,L5,106.15,197.76,138.57
2002-04-14 09:54:32+00:00,L7,243.09,210.33,124.44
2002-04-23 09:48:42+00:00,L7,257.63,204.20,213.75
2002-04-30 09:54:34+00:00,L7,,206.70,103.11
2002-05-09 09:48:22+00:00,L7,247.62,208.63,100.03
2002-05-17 09:36:49+00:00,L5,105.68,198.53,136.42
2002-05-24 09:42:27+00:00,L5,,,
2002-05-25 09:48:37+00:00,L7,246.74,207.83,94.46
2002-06-01 09:54:21+00:00,L7,242.80,208.34,124.38
2002-06-17 09:54:14+00:00,L7,243.39,208.52,99.84
2002-06-18 09:36:04+00:00,L5,106.20,197.43,140.11
2002-06-25 09:41:43+00:00,L5,,,
2002-06-26 09:48:22+00:00,L7,244.51,210.48,124.79
2002-07-03 09:54:10+00:00,L7,,221.21,89.57
2002-07-12 09:48:20+00:00,L7,247.23,191.55,154.80
2002-07-19 09:54:03+00:00,L7,,207.64,99.91
2002-07-28 09:48:12+00:00,L7,237.56,208.94,96.71
2002-08-04 09:53:55+00:00,L7,,211.07,99.92
2002-08-13 09:47:44+00:00,L7,244.01,208.80,124.83
2002-08-20 09:53:52+00:00,L7,244.99,208.90,124.40
2002-09-05 09:53:43+00:00,L7,245.17,198.49,127.49
2002-09-30 09:47:17+00:00,L7,248.26,202.59,203.34
2002-10-07 09:53:26+00:00,L7,249.17,190.52,155.62
