dates,satname,sar1375-0000,sar1375-0001,sar1375-0002,sar1375-0003,sar1375-0004,sar1375-0005,sar1375-0006
2007-07-17 09:56:43+00:00,L7,,145.56,141.01,126.85,136.95,131.35,135.52
2007-07-25 10:00:07+00:00,L5,,130.75,122.10,121.23,121.05,125.19,129.65
2007-08-02 09:56:39+00:00,L7,,154.50,153.20,143.43,148.95,134.81,138.65
2007-08-26 09:59:46+00:00,L5,,147.36,153.19,145.71,147.62,149.78,153.24
2007-09-11 09:59:39+00:00,L5,169.57,149.59,136.36,137.63,138.13,135.86,144.69
2007-12-24 09:56:52+00:00,L7,195.55,,,,,,
2008-01-25 09:56:52+00:00,L7,,158.61,155.22,146.76,147.09,142.12,
2008-02-10 09:56:50+00:00,L7,186.02,161.24,157.80,151.35,150.06,,157.70
2008-02-26 09:56:45+00:00,L7,,160.43,171.62,158.99,157.00,156.60,173.48
2008-04-06 09:56:03+00:00,L5,166.98,151.03,144.20,143.82,138.95,133.26,140.19
2008-06-09 09:54:23+00:00,L5,,133.89,133.17,134.82,126.51,119.88,130.92
2008-07-19 09:55:52+00:00,L7,,141.54,139.63,140.45,127.15,133.87,138.13
2008-08-04 09:55:45+00:00,L7,,144.88,141.15,130.78,133.42,135.48,133.84
2008-08-12 09:52:31+00:00,L5,187.92,160.26,156.97,153.67,153.27,160.88,156.25
2008-09-29 09:51:10+00:00,L5,189.54,160.29,156.55,144.91,152.87,154.71,150.79
2008-11-08 09:55:35+00:00,L7,,155.95,150.82,135.04,143.27,,152.62
2009-02-28 09:56:34+00:00,L7,193.99,161.65,152.02,150.51,150.66,148.91,145.78
2009-04-01 09:56:48+00:00,L7,178.69,146.62,138.93,140.03,133.30,132.15,138.72
2009-05-11 09:54:13+00:00,L5,192.44,158.80,161.94,155.72,149.00,154.58,159.77
2009-05-19 09:56:58+00:00,L7,174.74,148.76,,,160.81,155.11,168.12
2009-06-04 09:56:58+00:00,L7,,166.10,167.77,164.17,163.61,162.29,161.67
