dates,satname,sar1299-0000
2020-05-26 09:33:09+00:00,L7,185.93
2020-07-05 10:00:10+00:00,L8,
2020-07-13 09:30:20+00:00,L7,183.07
2020-07-21 10:00:15+00:00,L8,
2020-07-29 09:29:20+00:00,L7,183.41
2020-08-06 10:00:19+00:00,L8,
2020-08-14 09:28:20+00:00,L7,182.59
2020-09-07 10:00:33+00:00,L8,
2020-09-15 09:26:14+00:00,L7,186.62
2020-10-01 09:25:12+00:00,L7,175.55
2020-10-09 10:00:41+00:00,L8,
2020-10-17 09:24:11+00:00,L7,188.47
2020-10-25 10:00:41+00:00,L8,
2020-11-18 09:22:01+00:00,L7,158.36
2020-11-26 10:00:41+00:00,L8,
2020-12-04 09:20:52+00:00,L7,175.71
2020-12-28 10:00:39+00:00,L8,
2021-02-06 09:16:14+00:00,L7,173.48
2021-02-14 10:00:26+00:00,L8,
2021-03-02 10:00:19+00:00,L8,
2021-03-26 09:12:30+00:00,L7,190.72
2021-04-03 10:00:07+00:00,L8,
2021-04-27 09:09:49+00:00,L7,203.47
2021-05-05 09:59:51+00:00,L8,
2021-05-13 09:08:30+00:00,L7,179.05
2021-05-21 10:00:00+00:00,L8,
2021-05-29 09:07:07+00:00,L7,184.87
2021-07-16 09:03:08+00:00,L7,181.89
2021-07-24 10:00:20+00:00,L8,
2021-08-01 09:01:44+00:00,L7,177.55
2021-08-17 09:00:18+00:00,L7,175.56
2021-08-25 10:00:32+00:00,L8,
2021-10-04 08:56:06+00:00,L7,193.51
2021-10-12 10:00:46+00:00,L8,
2021-10-20 08:54:41+00:00,L7,
2021-11-29 10:00:43+00:00,L8,
2021-12-07 08:50:08+00:00,L7,165.32
2021-12-07 10:00:44+00:00,L9,
2021-12-15 10:00:42+00:00,L8,
2021-12-23 08:48:35+00:00,L7,
2021-12-23 10:00:38+00:00,L9,
2022-01-08 08:47:00+00:00,L7,158.48
2022-01-08 10:00:36+00:00,L9,
2022-01-16 10:00:34+00:00,L8,
2022-01-24 08:45:29+00:00,L7,
2022-01-24 10:00:37+00:00,L9,
2022-02-01 10:00:29+00:00,L8,
2022-02-09 08:43:52+00:00,L7,202.82
2022-02-09 10:00:35+00:00,L9,
2022-02-25 08:42:17+00:00,L7,
2022-02-25 10:00:26+00:00,L9,
2022-03-13 10:00:23+00:00,L9,
2022-03-21 10:00:13+00:00,L8,
2022-03-29 08:39:10+00:00,L7,175.89
2022-04-30 10:00:06+00:00,L9,
2022-05-16 09:59:55+00:00,L9,
2022-05-24 10:00:17+00:00,L8,
2022-05-25 08:34:50+00:00,L7,184.10
