dates,satname,sar1742-0000,sar1742-0001,sar1742-0002,sar1742-0003,sar1742-0004,sar1742-0005,sar1742-0006,sar1742-0007
1995-03-18 09:15:50+00:00,L5,156.12,162.96,215.12,190.41,174.90,150.93,189.15,191.54
1995-03-27 09:09:40+00:00,L5,162.34,171.29,219.90,199.17,175.77,153.37,182.68,192.44
1995-04-12 09:09:01+00:00,L5,168.43,181.53,227.74,203.65,176.90,153.93,178.94,188.86
1995-04-19 09:14:30+00:00,L5,155.33,165.94,212.67,192.48,166.41,147.59,178.88,185.43
1995-05-05 09:13:47+00:00,L5,162.18,180.27,231.49,204.19,172.84,157.05,183.10,193.86
1995-05-14 09:07:35+00:00,L5,158.84,160.28,209.11,165.76,151.88,148.32,183.31,187.94
1995-05-21 09:13:04+00:00,L5,153.60,163.37,204.69,182.54,166.77,153.15,177.07,190.57
1995-05-30 09:06:52+00:00,L5,163.75,178.92,215.72,198.41,,156.05,179.07,186.24
1995-06-06 09:12:19+00:00,L5,152.76,159.55,212.14,192.07,168.79,145.91,178.69,187.17
1995-06-15 09:06:08+00:00,L5,160.55,169.83,219.26,196.38,176.15,153.84,186.64,192.33
1995-07-01 09:05:02+00:00,L5,161.57,171.14,213.63,197.82,172.25,151.18,180.22,201.68
1995-07-08 09:10:53+00:00,L5,159.64,166.05,225.31,195.70,174.05,152.71,180.11,190.44
1995-07-17 09:04:40+00:00,L5,163.33,180.54,225.04,198.10,,155.31,180.40,187.51
1995-07-24 09:10:32+00:00,L5,163.47,175.94,220.23,198.27,,157.97,176.75,188.98
1995-08-02 09:03:34+00:00,L5,158.96,176.87,225.66,197.89,173.98,153.99,182.08,192.65
1995-08-09 09:09:25+00:00,L5,147.54,160.98,209.38,182.64,156.85,142.80,175.97,186.64
1995-09-10 09:07:55+00:00,L5,,,-37.96,184.69,,154.29,160.39,189.15
1995-10-21 09:00:00+00:00,L5,163.10,179.05,229.33,206.03,,157.62,179.37,189.19
1995-11-06 08:59:27+00:00,L5,169.61,186.34,233.38,210.82,181.67,160.27,177.10,185.35
1995-11-22 08:59:14+00:00,L5,152.03,177.06,209.48,187.87,,140.27,149.26,181.82
1995-12-08 09:00:06+00:00,L5,,,,,,,299.75,417.76
1995-12-15 09:06:48+00:00,L5,,,-40.27,168.84,139.44,120.73,160.59,174.24
1996-01-16 09:09:06+00:00,L5,158.12,166.33,215.84,193.80,172.48,152.58,176.58,197.66
1996-02-10 09:05:03+00:00,L5,164.35,185.32,218.27,195.98,,,455.03,358.98
1996-02-17 09:11:19+00:00,L5,162.87,178.87,220.49,199.57,175.94,151.34,178.93,192.69
1996-02-26 09:05:44+00:00,L5,,572.15,-0.07,494.06,,130.18,150.49,152.81
1996-03-13 09:07:12+00:00,L5,163.40,178.99,213.50,197.99,176.08,158.10,187.19,203.47
1996-03-29 09:08:13+00:00,L5,164.53,180.57,222.52,202.68,,149.97,174.17,195.81
1996-04-05 09:14:27+00:00,L5,160.25,168.36,219.11,195.20,165.15,145.15,181.25,190.13
1996-04-21 09:15:25+00:00,L5,153.27,166.30,212.22,188.06,169.69,150.00,177.96,184.85
1996-05-16 09:11:06+00:00,L5,160.18,178.71,218.84,200.73,182.10,157.20,181.25,192.36
1996-05-23 09:17:17+00:00,L5,161.88,177.90,224.85,201.07,175.23,158.02,177.43,188.42
1996-06-01 09:12:00+00:00,L5,166.19,182.60,232.21,206.49,177.25,157.01,177.79,189.57
1996-06-08 09:18:10+00:00,L5,163.83,177.16,224.74,198.84,,160.20,182.71,191.36
1996-07-03 09:13:19+00:00,L5,152.86,163.05,210.07,188.90,172.12,153.45,181.78,195.79
1996-07-10 09:19:52+00:00,L5,160.93,166.73,216.01,197.18,174.87,158.94,175.66,191.99
