,dates,jap0010-0000,jap0010-0001,jap0010-0002,jap0010-0003,jap0010-0004,jap0010-0005,jap0010-0006,jap0010-0007,jap0010-0008,jap0010-0009,jap0010-0010,jap0010-0011,jap0010-0012,jap0010-0013,jap0010-0014,jap0010-0015,jap0010-0016,jap0010-0017,jap0010-0018,jap0010-0019
74,2005-06-26 00:44:18+00:00,,,,133.61969916935428,145.67710236448198,148.82416342741672,149.26543189901125,153.97967208063514,151.41941339629327,145.2379180508819,137.55982556854647,132.046536063925,127.71301263930123,120.53898655813799,125.82738938685738,127.68720896578881,131.2544948713923,,,
75,2006-05-12 00:44:58+00:00,,88.12187599445114,93.36815858003453,,,,,128.76918315966844,129.69478962327597,121.29272996392376,123.9044241102652,,,,127.44857004235539,112.05624698833628,141.77279127251265,135.78834446122235,,151.59028538226093
76,2006-05-21 00:38:47+00:00,,,98.47901719771139,113.72500729515701,112.74612781838417,111.57559056744556,112.09263470707617,128.75317902305125,130.30708826039893,127.13453405006416,127.33604552058159,,,,,,,,149.9006345703136,154.37530601911817
77,2006-08-25 00:38:21+00:00,104.04686579383335,116.46615923862895,122.66132411345048,132.2159146764107,135.73732375508598,137.66864914071505,140.3491165425493,146.17541455896213,143.42454982742947,,,,,,,,,136.23397070218067,141.15913424376805,147.46887732738085
78,2006-09-26 00:38:10+00:00,111.31518393898583,111.2382152071148,117.32831678083446,129.31114947643755,133.7949610623304,141.61229950465855,,,,,,,,,132.28487009721624,126.35404355529548,140.53960160670445,143.23381766583984,145.05379895472686,153.43918798306146
79,2006-10-19 00:44:26+00:00,,,,107.97659857363377,110.62030646305017,116.88069387734299,128.29938710588686,134.25975265192767,131.86035012814347,126.19431642483218,127.87253427963496,125.44427664497226,129.24105905369376,126.9590564811445,126.68712269374234,119.84389846165766,133.22125032830144,,,140.04735648168204
80,2006-10-27 00:49:10+00:00,92.52134148954897,81.70545711536664,88.9972050580982,92.30894793169438,101.31841172140594,101.40260476957165,102.18568529105322,106.00646632815447,103.06152459354462,102.47785198198292,104.34723157973744,98.79067410261376,101.55153124581173,99.99569312655856,106.65501400240194,107.95334099648643,116.007304653923,113.90943869380925,122.91233750367093,132.2261374155038
81,2006-11-04 00:44:41+00:00,,,,111.1444618382933,126.53580964117809,131.75800572822553,136.8814467076507,142.30169906008524,132.43102372989637,125.12016373339452,123.32235804702891,123.12107065134168,126.38023438358071,118.6626218643126,125.36768326396992,119.26092660945557,123.91331449351199,,,
82,2007-07-02 00:45:08+00:00,98.62785805910374,98.67533267234944,97.70517581781962,97.92844774460491,106.464853498492,111.97463549904163,,,101.44242908372112,111.6665474889552,116.34294624365101,122.88672305035507,125.03637697275613,133.45489940445532,128.23579256759643,112.4252820273043,128.44496267113146,135.81317819913136,147.37643828171161,152.26981639424412
83,2007-08-28 00:38:39+00:00,,,,,,133.18967804310162,137.30527635410903,143.48538929750737,140.36503807254087,137.44687748118645,139.12686866218036,141.16191171646227,145.54851157781934,153.51079375681059,,,,,,
84,2007-12-18 00:39:02+00:00,,,,,,,,,,,,,,,,,,,,
85,2008-01-10 00:45:15+00:00,,,,,,,,,,,,,,,,,,,,122.84746210784292
86,2008-01-19 00:39:04+00:00,,,,,,,,,,,,,,,,,,,,
87,2008-05-01 00:44:58+00:00,83.57799698665394,72.98320030240103,73.02946351876025,76.883424456918,87.27294667373573,,,,111.86419316246366,109.89205803121465,,,,,,,,,,
88,2008-08-05 00:44:07+00:00,106.68533129181594,105.52745403959463,106.9533406282902,114.0252078818293,,,,146.41510903157294,144.60478381019607,141.8462927787459,141.5822308148365,141.23079226058707,148.0952833551517,141.6563440722552,136.8622752722528,126.187494456086,141.26343325329287,141.5267997470291,148.15548207799338,140.2811628358926
89,2008-09-22 00:43:44+00:00,120.55945685400368,,,,118.37399996192494,125.24195061045705,135.44288814138278,145.97233329673548,143.87612286821778,139.91231364776075,140.2085451502777,128.29780636307444,133.41759291673043,138.48591110903126,137.41257989622042,136.05801727537568,136.08144272727264,138.95161031371015,,
