,dates,mex0169-0000,mex0169-0001,mex0169-0002,mex0169-0003,mex0169-0004,mex0169-0005
653,2016-08-14 17:12:49+00:00,222.16691693943147,222.80163459723937,221.65823076775334,225.05765349487783,220.85446067939648,222.7311844746604
654,2016-08-15 17:09:12+00:00,,,,,,
655,2016-08-31 17:09:16+00:00,,,,,,
656,2016-09-07 17:15:28+00:00,,,,,,
657,2016-09-08 17:06:48+00:00,226.4117855229147,217.29062820281092,217.56931835343224,225.21833858324135,226.8452062258461,225.4690057480662
658,2016-09-23 17:15:30+00:00,,,,,,
659,2016-09-24 17:06:49+00:00,224.62403748960767,216.624660547154,220.2599928084654,226.82638199730368,220.474397939668,222.76102507029916
660,2016-10-02 17:09:20+00:00,232.49611496035882,226.85879274266472,,,,
661,2016-10-09 17:15:31+00:00,,222.74096153996095,220.75412576056362,229.15711998242955,220.3343052911838,218.5711447104054
662,2016-10-17 17:13:06+00:00,238.73715727157787,231.14236306366143,228.13167983661558,233.0931018466082,228.23988385074006,232.836702078372
663,2016-10-18 17:09:19+00:00,233.30598867423586,228.55396426669648,226.40912954681684,,,
664,2016-10-25 17:15:28+00:00,,,,230.71245861480222,219.208512634913,223.41543121320845
665,2016-10-26 17:06:56+00:00,235.47469898101778,224.22150444790125,231.38642797718026,235.15457384477907,231.49367091440456,229.84008700157696
666,2016-11-02 17:12:43+00:00,232.84309176259666,227.95416784382874,229.1078570399528,233.76946314764731,228.33072231699356,229.5072623335032
667,2016-11-03 17:09:13+00:00,226.5292726965993,,,,,
668,2016-11-18 17:12:42+00:00,246.1172960344874,235.28563100418194,236.4754672460315,240.3566670023002,235.41478717239735,236.91399603554115
669,2016-11-19 17:09:07+00:00,,,,,,
670,2016-11-26 17:15:17+00:00,233.8438070967415,,,,,
671,2016-11-27 17:06:55+00:00,236.3828223253022,232.60803258035267,234.2719101089105,239.79097225673306,236.67503631081254,233.57737365228732
672,2016-12-05 17:09:04+00:00,,,,,,
673,2016-12-12 17:15:13+00:00,228.1574212131072,228.40242648092652,223.4950885104992,230.2381900374689,225.90495253776044,221.04699329602886
674,2016-12-13 17:06:52+00:00,239.33896329299586,233.02680143784974,235.15037042636675,238.9390278525254,234.14258016705858,233.4904853073111
675,2016-12-20 17:13:00+00:00,243.78738325934376,235.5341683053329,238.5917312132988,246.71049611350495,237.4735702451618,234.91708874146875
676,2016-12-21 17:08:59+00:00,227.9373828528678,224.82685716492418,228.0008835452079,231.57771643881242,230.24559639783033,223.86165596895282
677,2016-12-28 17:15:06+00:00,242.9935731062016,237.39413061114138,233.75243904398005,242.62872332883242,229.72480697370813,
678,2016-12-29 17:06:49+00:00,223.5290131360358,223.41352651464365,225.06875369172977,230.47550881398408,226.2812609477022,221.92948036920555
679,2017-01-05 17:12:34+00:00,234.99155087884816,231.46885752171838,230.5682156570193,239.7921472303984,233.42319730474756,227.31935066980435
680,2017-01-13 17:14:55+00:00,232.04148312556157,233.26381357259524,231.89490070352895,242.44883347041724,230.07867537849296,230.17316106656293
681,2017-01-14 17:06:45+00:00,239.03023682348538,238.42607813921933,236.9016512360694,247.42742477799382,237.08466999196776,238.63956518181715
682,2017-01-21 17:12:53+00:00,244.9962255862634,242.28513667169165,238.62645093030955,246.74506520004678,237.83604538168217,234.74299051345986
683,2017-01-22 17:08:38+00:00,238.07078979926558,239.21361728831837,237.99920629680884,244.74576848023798,236.01495544417998,236.90473594917415
684,2017-01-29 17:14:46+00:00,,,232.91926991250023,245.29471137358883,233.40616787029163,236.1544528903854
685,2017-01-30 17:06:38+00:00,246.45532038887083,247.72684027740138,236.62716802085,239.86870973326992,233.16538791487298,235.71849263378417
686,2017-02-06 17:12:45+00:00,242.25050837835605,246.26527286572457,236.17682085498092,243.99607778127856,234.09103042028997,230.15443518153722
687,2017-02-14 17:14:43+00:00,,,,,,
688,2017-02-15 17:06:31+00:00,239.48396268805226,240.458331375756,235.2434596953164,242.0474113382545,231.52871384277577,232.38678347337134
689,2017-02-22 17:12:40+00:00,240.93559932528487,243.46284569519608,238.09192642054583,239.64547703878736,234.16859919894196,236.75267093073347
690,2017-02-23 17:08:37+00:00,246.6441932078244,244.4351959226401,237.03307735903314,237.07508909479822,232.5710590727016,227.13943256561265
691,2017-03-02 17:14:51+00:00,246.25329050289284,245.1378764957187,243.15155224474677,241.61165676998675,238.80805551818176,236.79533253345082
692,2017-03-03 17:06:25+00:00,243.25023031102407,241.76237107083594,235.04908058285855,238.51788607199708,231.9085108495431,234.54172587522504
693,2017-03-10 17:12:32+00:00,240.62450652212377,237.34443861165684,241.00435265174357,238.83609695924937,231.03318484033832,232.414540427789
694,2017-03-18 17:14:57+00:00,240.0062859274727,235.90377322894773,238.5956241473269,239.4498200660209,,
695,2017-03-19 17:06:15+00:00,238.76165224829023,241.58357281615906,243.06155554014677,239.95718645456606,234.10217664861824,234.8894807942618
696,2017-03-26 17:12:22+00:00,232.91919712392098,227.73022094000112,231.62009964225382,236.3259081989941,227.32070511411604,232.73185685686272
697,2017-03-27 17:08:49+00:00,,,,,,223.41756758329092
698,2017-04-03 17:15:01+00:00,,,232.7038965463434,234.2911572725636,224.26792164323209,222.29916491650286
699,2017-04-04 17:06:08+00:00,238.17825722969133,230.57806967213702,235.8710131617175,240.6358098611425,231.680448624428,231.96175428872448
700,2017-04-11 17:12:15+00:00,241.99044386361476,234.83526139952858,236.47625118636427,242.73292140638299,235.42987572950236,238.95318303704386
701,2017-04-12 17:08:54+00:00,247.08972114769855,234.79470657082854,237.9325386454634,237.6219783210526,,
702,2017-04-19 17:15:08+00:00,234.38472224245896,230.78590765592227,225.60201222072948,227.69460106113277,224.0502246182635,223.16881712127073
703,2017-04-20 17:05:59+00:00,234.30401173046778,228.3302915657535,232.06090915033906,233.49310770450282,230.0405875661361,228.82387739247093
704,2017-05-06 17:05:54+00:00,237.38883588110008,234.9711476696759,233.679403571478,242.57084650412386,232.07094207239697,239.04727150120223
705,2017-05-13 17:12:10+00:00,241.99472646509867,233.1534944997484,237.507924681284,239.97879403173874,233.81374289512735,234.77401178334242
706,2017-05-14 17:09:04+00:00,240.30187799062182,,,,,
707,2017-07-01 17:09:14+00:00,220.2468243884021,213.3286368079481,211.1840970441743,227.61269508145034,225.36309261020398,218.25793701685478
708,2017-07-08 17:15:25+00:00,213.8260223028261,207.20239760142346,199.6221387586417,212.05408505314915,203.48867047066625,205.11503571157647
709,2017-07-16 17:12:36+00:00,229.94759369448863,225.04774512509303,216.7300816482368,229.2610035682658,223.5094670369547,221.13986232679284
710,2017-07-17 17:09:14+00:00,,215.86381151006358,212.77737735801006,226.4556936895198,214.39721185519116,217.60739848816831
711,2017-07-25 17:06:30+00:00,226.59432328657016,224.0012132093452,216.85550283754333,231.39113252148505,229.15665854144618,226.49616330622678
712,2017-08-17 17:12:25+00:00,230.80975205526215,219.72032891252573,221.88726640363188,230.0019532639487,225.65031040811243,224.1851910349012
713,2017-08-25 17:15:22+00:00,225.24542897694027,224.7690835476656,224.878600878285,225.2052205962257,222.1024866328434,220.3412261406127
714,2017-08-26 17:06:40+00:00,226.56303868180817,224.7379203201454,225.03757706533378,226.08302111802618,223.40870742217768,225.71280386047758
715,2017-09-02 17:12:52+00:00,225.91421590571028,223.89688153047422,222.29942074247467,225.35747092214322,218.00814017805686,220.36515926765776
716,2017-09-10 17:15:21+00:00,233.02314873486452,224.90608935299147,227.9751020031574,234.45718478013015,225.5014709804789,229.4620259654669
