dates,sar2332-0000,sar2332-0001,sar2332-0002,sar2332-0003,satname
2020-07-29 09:28:57+00:00,230.21,210.90076923076924,220.98538461538465,222.18727272727273,L7
2020-08-14 09:27:56+00:00,230.23214285714286,210.31571428571428,220.45928571428573,223.56583333333333,L7
2020-08-21 09:33:16+00:00,230.35266666666666,206.55357142857142,218.61214285714286,224.7969230769231,L7
2020-09-06 09:32:13+00:00,231.47357142857143,205.3807692307692,219.03307692307695,227.47818181818184,L7
2020-09-15 09:25:51+00:00,232.13133333333334,205.72499999999997,219.82571428571427,229.0975,L7
2020-09-22 09:31:09+00:00,232.64466666666667,205.69142857142856,220.00642857142856,229.0975,L7
2020-10-01 09:24:49+00:00,232.688,205.6442857142857,221.25428571428571,233.94833333333335,L7
2020-10-08 09:30:09+00:00,232.87866666666665,205.72615384615386,222.79500000000002,231.27,L7
2020-10-24 09:29:06+00:00,233.12538461538463,205.73249999999996,223.67615384615385,233.898,L7
2020-11-09 09:28:02+00:00,235.0069230769231,205.7216666666667,224.82,237.56799999999998,L7
2020-11-18 09:21:13+00:00,235.18769230769232,206.01666666666668,227.0323076923077,243.64000000000001,L7
2020-12-03 10:06:05+00:00,235.18769230769232,206.01666666666668,227.86714285714285,241.40363636363637,L8
2020-12-20 09:19:15+00:00,234.9318181818182,207.07818181818178,227.93153846153848,244.40727272727273,L7
2020-12-27 09:24:32+00:00,234.9318181818182,207.07818181818178,227.93153846153848,244.55916666666667,L7
2021-01-04 10:05:59+00:00,237.75833333333333,207.49416666666664,228.70785714285716,246.1446153846154,L8
2021-03-01 09:19:52+00:00,239.78375,207.13666666666666,232.962,249.79899999999998,L7
2021-03-25 10:05:32+00:00,241.0683333333333,206.82125,234.79666666666668,249.169,L8
2021-05-12 10:05:17+00:00,249.2175,210.2166666666667,239.67666666666665,246.94142857142856,L8
2021-05-20 09:13:17+00:00,254.83333333333334,210.08833333333337,243.8083333333333,243.53166666666667,L7
2021-05-29 09:06:44+00:00,248.7825,210.22,243.8083333333333,242.45714285714286,L7
2021-07-15 10:05:38+00:00,247.4125,206.82333333333335,250.17749999999998,243.83333333333334,L8
2021-07-23 09:07:54+00:00,247.4125,206.82333333333335,243.98799999999997,243.83333333333334,L7
2021-09-02 08:58:08+00:00,243.414,209.04833333333332,240.09,235.26,L7
2021-10-11 09:00:52+00:00,242.744,209.86166666666668,238.61833333333334,236.4,L7
2021-10-19 10:06:10+00:00,241.4,209.58571428571426,237.52285714285716,237.6225,L8
2021-11-13 10:04:47+00:00,236.72666666666666,205.97714285714284,233.68571428571428,238.22799999999998,L9
2021-11-18 10:06:51+00:00,235.03857142857143,205.86285714285717,230.28285714285715,236.29,L9
2021-12-14 08:54:51+00:00,235.59857142857143,203.95857142857145,230.28285714285715,235.34833333333333,L7
2022-01-07 10:05:59+00:00,235.0375,203.94125000000003,230.87875,234.25428571428571,L8
