dates,nzd0120-0000,nzd0120-0001,nzd0120-0002,nzd0120-0003,nzd0120-0004,nzd0120-0005,nzd0120-0006,nzd0120-0007,nzd0120-0008,nzd0120-0009,nzd0120-0010,nzd0120-0011,nzd0120-0012,nzd0120-0013,nzd0120-0014,nzd0120-0015,nzd0120-0016,nzd0120-0017,nzd0120-0018,nzd0120-0019,nzd0120-0020,nzd0120-0021,nzd0120-0022,nzd0120-0023,nzd0120-0024,nzd0120-0025,nzd0120-0026,nzd0120-0027,nzd0120-0028,nzd0120-0029,nzd0120-0030,nzd0120-0031,nzd0120-0032,satname
2010-11-13 21:55:25+00:00,395.18,383.37,374.13,368.83,369.93,376.06,376.37,381.73,377.19,385.56,381.51,372.48,370.95,360.93,357.20,350.56,354.28,352.34,340.68,358.01,374.05,375.22,386.59,392.94,393.86,388.05,379.55,375.49,380.23,384.08,391.89,398.56,387.28,L5
2010-12-31 21:55:32+00:00,368.12,380.58,388.20,379.45,378.31,391.98,389.61,387.75,395.60,395.36,399.47,393.53,389.59,376.94,369.99,356.22,346.46,344.11,345.64,366.42,368.76,366.66,382.71,395.98,397.24,390.69,389.75,376.85,379.68,376.23,391.04,394.47,385.39,L5
2011-02-25 21:59:08+00:00,384.17,381.71,371.92,365.46,360.21,360.54,366.33,365.26,375.52,372.34,381.09,,384.23,361.65,359.64,351.11,356.84,352.67,,,364.93,361.74,361.95,372.47,374.04,363.18,357.47,357.33,368.87,368.87,373.33,393.02,371.84,L7
2011-03-13 21:59:11+00:00,399.50,388.77,384.04,384.21,378.03,374.65,376.42,380.62,377.66,371.19,386.29,398.03,394.33,381.37,367.75,351.62,364.43,366.28,,372.15,376.86,380.36,385.08,389.43,388.56,381.79,372.80,365.27,376.85,376.83,380.28,393.58,375.47,L7
2011-08-20 21:59:02+00:00,,389.91,387.64,360.66,340.13,351.30,362.06,372.47,366.84,375.04,371.19,370.13,,366.42,349.99,348.73,345.81,356.46,360.82,370.72,367.60,369.27,379.58,386.36,368.16,351.69,,363.42,363.82,368.33,375.83,385.52,373.15,L7
2011-09-05 21:58:58+00:00,387.83,384.20,384.69,,350.64,351.63,365.38,380.34,378.81,373.84,380.34,376.35,369.35,368.29,367.94,355.90,,360.40,357.80,370.03,365.85,364.97,379.48,378.15,369.13,366.38,366.29,361.66,367.74,371.96,376.22,384.43,365.46,L7
2012-01-11 21:59:39+00:00,353.78,345.82,,,328.13,319.18,,,,,,,,338.15,,,,,,,,,,,,,,326.73,342.95,344.17,361.00,364.69,,L7
2012-01-27 21:59:39+00:00,386.74,380.08,387.51,370.51,371.84,368.86,377.40,376.04,384.15,389.05,396.38,384.22,386.16,386.70,385.32,379.20,375.57,384.55,383.96,399.45,388.91,380.03,391.19,406.36,406.60,392.90,380.75,378.62,378.09,373.14,383.94,391.66,381.71,L7
2012-05-02 22:00:07+00:00,368.50,367.39,369.18,357.92,346.81,339.75,351.13,374.20,399.60,368.01,357.12,356.78,344.65,349.53,355.49,384.72,348.02,335.58,352.23,347.64,351.73,351.57,357.62,383.15,380.58,375.22,353.31,345.65,345.69,359.97,366.48,374.25,361.83,L7
2012-08-22 22:00:50+00:00,379.75,374.10,365.59,361.79,361.99,358.55,356.00,361.37,361.42,362.92,366.05,350.61,347.58,363.12,355.75,369.23,358.72,355.97,359.68,354.61,354.66,363.84,,,,,,,,,,,398.03,L7
